State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date,Match_Type,Match_Score
CHANDIGARH,CHANDIGARH,30.729,76.781,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BENGALURU URBAN,12.952,77.594,,,,,,,,,,,,UNMATCHED,
DELHI,CENTRAL DELHI,28.694,77.216,,,,,,,,,,,,UNMATCHED,
DELHI,EAST DELHI,28.62,77.296,,,,,,,,,,,,UNMATCHED,
DELHI,NEW DELHI,28.577,77.147,,,,,,,,,,,,UNMATCHED,
DELHI,NORTH DELHI,28.794,77.108,,,,,,,,,,,,UNMATCHED,
DELHI,NORTH EAST DELHI,28.719,77.257,,,,,,,,,,,,UNMATCHED,
DELHI,NORTH WEST DELHI,28.727,77.042,,,,,,,,,,,,UNMATCHED,
DELHI,SOUTH DELHI,28.483,77.191,,,,,,,,,,,,UNMATCHED,
DELHI,SOUTH EAST DELHI,28.543,77.274,,,,,,,,,,,,UNMATCHED,
DELHI,SOUTH WEST DELHI,28.576,76.967,,,,,,,,,,,,UNMATCHED,
DELHI,WEST DELHI,28.656,77.065,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,ANANTNAG,33.827,75.321,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,BADGAM,33.925,74.64,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,BANDIPORA,34.491,74.875,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,BARAMULA,34.165,74.309,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,DODA,33.09,75.707,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,GANDERBAL,34.282,75.025,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,JAMMU,32.798,74.749,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KATHUA,32.577,75.589,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KISTWAR,33.553,75.966,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KULGAM,33.603,74.843,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KUPWARA,34.523,74.204,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,POONCH,33.803,74.014,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,PULWAMA,33.94,75.017,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,RAJOURI,33.273,74.38,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,RAMBAN,33.323,75.195,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,REASI,33.229,74.841,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,SAMBA,32.578,75.094,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,SHOPIAN,33.733,74.818,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,SRINAGAR,34.116,74.927,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,UDHAMPUR,32.894,75.303,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BAGALKOTE,16.221,75.626,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BALLARI,15.11,76.533,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BELAGAVI,16.121,74.824,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BENGALURU RURAL,13.227,77.574,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BHOPAL,23.47,77.391,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BIDAR,17.952,77.225,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHAMARAJANAGAR,11.958,77.098,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHIKABALLAPURA,13.578,77.835,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHIKKAMAGALURU,13.455,75.691,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHITRADURGA,14.169,76.515,,,,,,,,,,,,UNMATCHED,
KARNATAKA,DAKSHINA KANNADA,12.853,75.251,,,,,,,,,,,,UNMATCHED,
KARNATAKA,DAVANGERE,14.409,75.954,,,,,,,,,,,,UNMATCHED,
KARNATAKA,DHARWAD,15.39,75.152,,,,,,,,,,,,UNMATCHED,
KARNATAKA,GADAG,15.431,75.665,,,,,,,,,,,,UNMATCHED,
KARNATAKA,HASSAN,12.996,76.108,,,,,,,,,,,,UNMATCHED,
KARNATAKA,HAVERI,14.739,75.417,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KALABURAGI,17.26,76.869,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KODAGU,12.325,75.801,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KOLAR,13.14,78.218,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KOPPAL,15.563,76.222,,,,,,,,,,,,UNMATCHED,
KARNATAKA,MANDYA,12.611,76.797,,,,,,,,,,,,UNMATCHED,
KARNATAKA,MYSURU,12.211,76.44,,,,,,,,,,,,UNMATCHED,
KARNATAKA,RAICHUR,16.091,76.892,,,,,,,,,,,,UNMATCHED,
KARNATAKA,RAMANAGARA,12.679,77.335,,,,,,,,,,,,UNMATCHED,
KARNATAKA,SHIVAMOGGA,14.043,75.22,,,,,,,,,,,,UNMATCHED,
KARNATAKA,TUMAKURU,13.522,76.946,,,,,,,,,,,,UNMATCHED,
KARNATAKA,UDUPI,13.498,74.872,,,,,,,,,,,,UNMATCHED,
KARNATAKA,UTTARA KANNADA,14.792,74.62,,,,,,,,,,,,UNMATCHED,
KARNATAKA,VIJAYANAGARA,15.139,76.921,,,,,,,,,,,,UNMATCHED,
KARNATAKA,VIJAYAPURA,16.794,75.953,,,,,,,,,,,,UNMATCHED,
KARNATAKA,YADGIR,16.627,76.913,,,,,,,,,,,,UNMATCHED,
LADAKH,KARGIL,33.886,76.508,,,,,,,,,,,,UNMATCHED,
LADAKH,LADAKH (LEH),35.036,76.806,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,AGAR-MALWA,23.815,76.089,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,ALIRAJPUR,22.315,74.364,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,ANUPPUR,23.057,81.682,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,ASHOKNAGAR,24.609,77.875,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BALAGHAT,21.881,80.359,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BARWANI,21.788,75.021,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BETUL,21.879,77.871,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BHIND,26.422,78.721,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BURHANPUR,21.37,76.369,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,CHHATARPUR,24.798,79.666,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,CHHINDWARA,22.122,78.854,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DAMOH,23.812,79.527,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DATIA,25.801,78.597,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DEWAS,22.744,76.457,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DHAR,22.498,75.104,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DINDORI,22.89,81.051,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,GUNA,24.556,77.199,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,GWALIOR,26.04,78.146,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,HARDA,22.233,77.123,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,INDORE,22.713,75.782,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,JABALPUR,23.234,79.976,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,JHABUA,22.892,74.672,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BALRAMPUR,27.484,82.375,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,KHANDWA,21.935,76.568,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,KHARGONE,21.919,75.771,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MAIHAR,24.265,80.76,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MANDLA,22.639,80.512,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MANDSAUR,24.204,75.405,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MAUGANJ,24.667,81.88,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MORENA,26.413,77.868,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,NARMADAPURAM,22.745,77.736,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,NARSINGHPUR,22.936,79.088,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,NEEMUCH,24.592,75.142,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,NIWARI,25.285,78.749,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,PANDHURNA,21.6,78.52,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,KATNI,23.753,80.403,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,RAISEN,23.22,78.121,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,RAJGARH,23.861,76.732,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,RATLAM,23.502,75.089,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,REWA,24.755,81.587,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SAGAR,23.85,78.76,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SATNA,24.531,80.831,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SEHORE,22.988,77.127,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SEONI,22.317,79.689,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SHAHDOL,23.629,81.474,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SHAJAPUR,23.366,76.575,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SHEOPUR,25.754,77.007,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SHIVPURI,25.366,77.805,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SIDHI,24.221,81.834,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,SINGRAULI,24.215,82.419,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,TIKAMGARH,24.883,79.016,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,UJJAIN,23.331,75.669,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,UMARIA,23.562,80.974,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,VIDISHA,23.892,77.813,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,AHMEDNAGAR,19.205,74.675,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,AKOLA,20.748,77.055,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,AMRAOTI,21.187,77.57,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,BEED,18.946,75.838,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,BHANDARA,21.122,79.759,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,BULDHANA,20.511,76.407,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,CHANDRAPUR,20.118,79.44,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,20.029,75.281,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,DHARASHIV,18.188,76.038,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,DHULE,21.11,74.6,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,GADCHIROLI,19.788,80.241,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,GONDIA,21.159,80.212,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,HINGOLI,19.62,77.101,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,JALGAON,20.934,75.487,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,JALNA,19.808,75.981,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,KOLHAPUR,16.47,74.159,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,LATUR,18.374,76.76,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,NAGPUR,21.178,79.085,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,NANDED,19.112,77.618,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,NANDURBAR,21.55,74.216,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,NASHIK,20.26,74.071,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,PARBHANI,19.271,76.678,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,PUNE,18.571,74.068,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,SANGLI,17.114,74.768,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,SATARA,17.67,74.172,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,SHOLAPUR,17.791,75.483,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,WARDHA,20.797,78.586,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,WASHIM,20.234,77.217,,,,,,,,,,,,UNMATCHED,
MAHARASHTRA,YEOTMAL,20.083,78.161,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,PANNA,24.419,80.189,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,AJMER,26.233,74.772,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,ALWAR,27.591,76.601,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BANSWARA,23.478,74.365,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BARAN,24.995,76.748,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BARMER,25.735,71.475,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BHARATPUR,27.248,77.276,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BHILWARA,25.481,74.727,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BIKANER,28.178,73.174,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,BUNDI,25.488,75.792,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,CHITTORGARH,24.822,74.774,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,CHURU,28.345,74.696,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,DAUSA,26.858,76.51,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,UDAIPUR,24.419,73.689,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,DUNGARPUR,23.731,73.854,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,HANUMANGARH,29.266,74.561,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,JAIPUR,26.977,75.719,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,JAISALMER,27.075,70.901,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,JALORE,25.099,72.212,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,JHALAWAR,24.336,76.194,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,JHUNJHUNU,28.092,75.55,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,JODHPUR,26.748,72.785,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,KARAULI,26.523,76.958,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,KOTA,25.109,76.104,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,NAGAUR,27.066,74.175,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,PALI,25.707,73.519,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,PRATAPGARH,24.03,74.651,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,RAJSAMAND,25.228,73.891,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,SAWAI MADHOPUR,26.218,76.461,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,SIKAR,27.634,75.288,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,SIROHI,24.762,72.777,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,SRI GANGANAGAR,29.397,73.571,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,TONK,26.148,75.666,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,CHANDAULI,25.142,83.258,,,,,,,,,,,,UNMATCHED,
TELANGANA,ANANTAPURAMU,14.6819,77.6006,,,,,,,,,,,,UNMATCHED,
TELANGANA,ANNAMAYYA DISTRICT,14.47,78.82,,,,,,,,,,,,UNMATCHED,
TELANGANA,CHITTOOR,13.465,79.006,,,,,,,,,,,,UNMATCHED,
TELANGANA,KURNOOL,15.532,77.999,,,,,,,,,,,,UNMATCHED,
TELANGANA,NANDYAL,15.478,78.483,,,,,,,,,,,,UNMATCHED,
TELANGANA,SRI SATHYASAI DISTRICT,14.158081,77.826801,,,,,,,,,,,,UNMATCHED,
TELANGANA,TIRUPATI,13.6288,79.4192,,,,,,,,,,,,UNMATCHED,
TELANGANA,YSR DISTRICT,14.467,78.824,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AGRA,27.036,78.076,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,ALIGARH,27.926,78.065,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AMBEDKAR NAGAR,26.419,82.666,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AMETHI,26.288,81.64,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AMROHA,28.813,78.332,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,GHAZIPUR,25.624,83.556,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AZAMGARH,26.046,83.067,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BADAUN,28.078,79.042,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AURAIYA,26.658,79.479,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BAHRAICH,27.698,81.493,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BALLIA,25.876,84.103,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,AYODHYA,26.658,81.997,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BANDA,25.471,80.557,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BARABANKI,26.939,81.332,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BAREILLY,28.458,79.431,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BASTI,26.82,82.626,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BHADOHI,25.348,82.464,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BIJNOR,29.386,78.389,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BULANDSHAHAR,28.363,78.015,,,,,,,,,,,,UNMATCHED,
RAJASTHAN,DHOLPUR,26.681,77.702,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,CHITRAKOOT,25.206,81.078,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,DEORIA,26.425,83.835,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,ETAH,27.516,78.717,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,ETAWAH,26.764,79.095,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,FARRUKHABAD,27.431,79.459,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,FATEHPUR,25.875,80.808,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,FIROZABAD,27.187,78.526,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,28.394,77.556,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,GHAZIABAD,28.768,77.476,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,GONDA,27.083,82.025,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,GORAKHPUR,26.656,83.359,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,HAMIRPUR,25.751,79.865,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,HAPUR,28.722,77.893,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,HARDOI,27.33,80.162,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,HATHRAS,27.582,78.164,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,JALAUN,26.091,79.386,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,JAUNPUR,25.746,82.575,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,JHANSI,25.508,78.951,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KANNAUJ,27.014,79.689,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KANPUR CITY,26.391,80.208,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KANPUR DEHAT,26.44,79.853,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KASGANJ,27.773,78.846,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KAUSHAMBI,25.498,81.415,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KHERI,28.121,80.667,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,KUSHI NAGAR,26.863,83.934,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,LALITPUR,24.653,78.562,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,LUCKNOW,26.842,80.906,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MAHARAJGANJ,27.201,83.531,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MAHOBA,25.363,79.726,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MAINPURI,27.182,79.052,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MATHURA,27.597,77.626,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MAU,26.047,83.562,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MEERUT,29.036,77.783,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MIRZAPUR,24.987,82.607,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MORADABAD,28.899,78.788,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,MUZAFFARNAGAR,29.416,77.725,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,PILIBHIT,28.531,79.995,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,PRATAPGARH,25.873,81.829,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,PRAYAGRAJ,25.304,81.96,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,RAE BAREILLY,26.226,81.135,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,RAMPUR,28.81,79.115,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SAHARANPUR,29.951,77.547,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SAMBHAL,28.455,78.552,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SANT KABIR NAGAR,26.776,83.027,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SHAHJAHANPUR,27.951,79.822,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SHAMLI,29.5,77.282,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SHRAWASTI,27.718,81.903,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SIDDHARTH NAGAR,27.27,82.873,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SITAPUR,27.517,80.852,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SONBHADRA,24.408,83.051,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,SULTANPUR,26.243,82.225,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,UNNAO,26.609,80.561,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,VARANASI,25.388,82.914,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,BANKURA,23.139,87.136,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,BIRBHUM,23.955,87.663,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,DARJILING,26.853,88.263,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,EAST MIDNAPORE,22.032,87.772,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,HOOGHLY,22.884,88.072,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,HOWRAH,22.524,88.064,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,JHARGRAM,22.363,86.956,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,KOLKATA,22.559,88.344,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BAGHPAT,29.057,77.308,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,MURSHIDABAD,24.171,88.229,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,NADIA,23.479,88.517,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,NORTH 24 PARGANAS,22.727,88.731,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,PASCHIM BARDHAMAN,23.661,87.16,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,PURBA BARDHAMAN,23.36,87.947,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,PURULIA,23.277,86.421,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,SOUTH 24 PARGANAS,22.063,88.535,,,,,,,,,,,,UNMATCHED,
WEST BENGAL,WEST MIDNAPORE,22.439,87.417,,,,,,,,,,,,UNMATCHED,
